LINEA,SKU,MODELO,COLOR,DESCRIPCION,GENERICO,TIPO,SUBTIPO,PACK,CANTIDAD,PRECIO
URS,10053,UH0010A,NEGRO,METALICA,E,C,CAD,CAD-M,2,0
URS,10055,UH0010C,ORO,METALICA,E,C,CAD,CAD-M,1,0
URS,11522,UH0016J,,PORTALENTE DE RESORTE,E,C,CAD,CAD-H,1,0
URS,15748,UH0041,PLATA,METALICA,E,C,FAC_RV,,5,0
URS,15755,UH0048,PLATA,METALICA,E,C,CAD,CAD-U,1,0
URS,16997,UH0016M,MULTICOLOR,SUJETADOR KIDS DELGADO,E,C,CAD,CAD-H,1,0
URS,290525,UH904XG,ORO,METALICA,E,C,CAD,CAD-H,1,0
URS,290546,UHKPC14/12,MARINO,SUJETADOR JEANS GRUESO,E,C,CAD,CAD-H,1,0
URS,290549,UHKPC10/12,MULTICOLOR,SUJETADOR KIDS GRUESO,E,C,CAD,CAD-H,2,0
URS,298977,UHKF30/6,VINO/MADERA,PERLAS DE MADERA,E,C,CAD,CAD-M,1,0
URS,501860,UHKPC2/12,ROJO,TIPO AGUJETA CLASICA,E,C,CAD,CAD-H,7,0
URS,501883,UHKF30/6,COLORES,PERLAS DE MADERA,E,C,CAD,CAD-M,2,0
URS,501884,UHKST5/6,CAFE,RESORTE,E,C,CAD,CAD-H,1,0
URS,501885,UHKST5/6,AZUL,RESORTE,E,C,CAD,CAD-H,53,0
URS,501887,UHKST5/6,NEGRO,RESORTE,E,C,CAD,CAD-H,347,0
URS,502035,UHKPK8/6,NARANJA,PORTALENTES DE CORDON,E,C,CAD,CAD-H,8,0
URS,502037,UHKPK8/6,VERDE,PORTALENTES DE CORDON,E,C,CAD,CAD-H,15,0
URS,502042,UHKPC2/12,MORADO,TIPO AGUJETA CLASICA,E,C,CAD,CAD-H,1,0
URS,502045,UHPK14/12,GRIS,SUJETADOR JEANS DELGADO,E,C,CAD,CAD-H,4,0
URS,502048,UH34,VINO,SUJETADOR DE PIEL,E,C,CAD,CAD-H,1,0
